class,file,image,p_aug4,pred_aug4,p_noaug,delta_noaug,pred_noaug,p_HF,delta_HF,pred_HF
Eczema,20201223_164758B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20201223_164758B.png,0.015489562414586544,Normal,0.15068122744560242,-0.1351916640996933,Normal,0.02694219909608364,-0.011452636681497097,Normal
Eczema,20201223_164830B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20201223_164830B.png,0.7207056283950806,Eczema,0.347905695438385,0.37279993295669556,Normal,0.9255800843238831,-0.2048744559288025,Eczema
Eczema,20201223_164901B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20201223_164901B.png,0.999170184135437,Eczema,0.9615878462791443,0.037582337856292725,Eczema,0.9984480142593384,0.0007221698760986328,Eczema
Eczema,20210421_095624B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20210421_095624B.png,0.9999475479125977,Eczema,0.9977838397026062,0.002163708209991455,Eczema,0.999772846698761,0.00017470121383666992,Eczema
Eczema,20210421_095658B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20210421_095658B.png,0.9979897737503052,Eczema,0.9928621649742126,0.005127608776092529,Eczema,0.9932191967964172,0.0047705769538879395,Eczema
Eczema,20210421_095907B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20210421_095907B.png,0.9738156795501709,Eczema,0.9008869528770447,0.07292872667312622,Eczema,0.9989994168281555,-0.02518373727798462,Eczema
Eczema,20210421_100735B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20210421_100735B.png,0.9873171448707581,Eczema,0.9185301661491394,0.06878697872161865,Eczema,0.9986467957496643,-0.01132965087890625,Eczema
Eczema,20210421_100806B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20210421_100806B.png,0.9999488592147827,Eczema,0.99713134765625,0.002817511558532715,Eczema,0.9983774423599243,0.0015714168548583984,Eczema
Eczema,20210421_100850B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20210421_100850B.png,0.9999654293060303,Eczema,0.9982920289039612,0.0016734004020690918,Eczema,0.9999798536300659,-1.4424324035644531e-05,Eczema
Eczema,20210421_100912B.png,/storage/ssd3/ArthurLee/GIPO/oct-AL-1126/ds/classification/seven_class/val/Eczema/20210421_100912B.png,0.9999628067016602,Eczema,0.9980269074440002,0.0019358992576599121,Eczema,0.9996716976165771,0.0002911090850830078,Eczema
